general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,106.L001,2506344,2506344,31.9,5.89,63.97,0.09,57,101,2000000,0.00,0.00,0.00,94.13,0.00,0.00,0.00,0.14,0.46,5.27
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,107.L001,189950,189950,28.8,4.28,40.28,3.22,65,101,189950,0.00,0.00,0.00,72.00,0.00,0.00,0.04,1.81,17.01,9.14
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,108.L001,2591004,2591004,31.9,5.84,63.69,0.13,57,101,2000000,0.00,0.00,0.00,94.00,0.00,0.00,0.00,0.21,0.55,5.24
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,109.L001,2594739,2594739,31.9,5.31,64.32,0.07,56,101,2000000,0.00,0.00,0.00,95.05,0.00,0.00,0.00,0.57,0.16,4.22
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,110.L001,2868088,2868088,31.8,6.35,62.94,0.10,57,101,2000000,0.00,0.00,0.00,93.37,0.00,0.00,0.00,0.15,0.60,5.88
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,111.L001,3375231,3375231,31.8,6.69,63.17,0.10,57,101,2000000,0.00,0.00,0.00,93.13,0.00,0.00,0.00,0.59,0.27,6.01
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,112.L001,2609344,2609344,31.8,5.48,64.58,0.08,56,101,2000000,0.00,0.00,0.00,94.08,0.00,0.00,0.00,0.14,0.65,5.13
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,113.L001,2627003,2627003,31.8,5.13,65.58,0.11,56,101,2000000,0.00,0.00,0.00,94.56,0.00,0.00,0.00,0.66,0.18,4.60
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,114.L001,2724451,2724451,31.9,2.82,67.35,0.03,55,101,2000000,0.00,0.00,0.00,96.92,0.00,0.00,0.00,0.55,0.15,2.38
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,115.L001,1898602,1898602,31.9,2.10,69.25,0.03,54,101,1898602,0.00,0.00,0.00,97.43,0.00,0.00,0.00,0.20,0.60,1.77
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,116.L001,2422434,2422434,31.9,2.82,67.69,0.04,55,101,2000000,0.00,0.00,0.00,96.51,0.00,0.00,0.00,0.19,0.70,2.60
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,117.L001,2327138,2327138,31.9,2.10,68.26,0.03,54,101,2000000,0.00,0.00,0.00,97.54,0.00,0.00,0.00,0.20,0.64,1.62
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,118.L001,1259286,1259286,30.8,1.54,81.26,0.01,54,101,1259286,0.00,0.00,0.00,97.62,0.00,0.00,0.00,0.72,0.27,1.39
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,119.L001,1369767,1369767,31.7,2.35,76.87,0.02,54,101,1369767,0.00,0.00,0.00,97.29,0.00,0.00,0.00,0.60,0.13,1.98
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,120.L001,2120657,2120657,31.5,2.50,70.22,0.03,55,101,2000000,0.00,0.00,0.00,97.49,0.00,0.00,0.00,0.11,0.68,1.72
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,121.L001,2667719,2667719,31.9,2.35,67.47,0.03,54,101,2000000,0.00,0.00,0.00,97.48,0.00,0.00,0.00,0.22,0.76,1.54
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,122.L001,3185571,3185571,31.9,5.59,64.47,0.11,56,101,2000000,0.00,0.00,0.00,93.71,0.00,0.00,0.00,0.74,0.28,5.27
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,123.L001,3582230,3582230,31.9,5.82,64.11,0.12,57,101,2000000,0.00,0.00,0.00,93.43,0.00,0.00,0.00,0.50,0.18,5.89
