package	required_version	number	do_install	do_load	installed	loaded	source	githubdir	required	SambaR_function	analysis_type
cli	latest	1	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
Rcpp	latest	2	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
fs	latest	3	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
rlang	latest	4	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
usethis	latest	5	TRUE	FALSE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
vctrs	latest	6	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
car	latest	7	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
curl	latest	8	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
colorspace	latest	9	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
ape	latest	10	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
scales	latest	11	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
vegan	latest	12	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
sf	latest	13	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
spdep	latest	14	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
adegenet	latest	15	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
StAMPP	latest	16	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
scatterplot3d	latest	17	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
plot3D	latest	18	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
zoo	latest	19	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
processx	latest	20	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	sliding_window_analyses
devtools	latest	21	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	install_packages
vioplot	latest	22	TRUE	TRUE	TRUE	TRUE	CRAN	NA	to_be_removed	to_be_removed	to_be_removed
gplots	latest	23	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
RColorBrewer	latest	24	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
migest	latest	25	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	circosplots_geneflow
plyr	latest	26	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	circosplots_geneflow
circlize	latest	27	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	circosplots_geneflow
grid	latest	28	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	DAPC_plots
gridGraphics	latest	29	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	DAPC_plots
gridExtra	latest	30	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	DAPC_plots
MASS	latest	31	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	MDS
poppr	latest	32	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	findstructure()	pcoa_tree_fst
FactoMineR	latest	33	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	CA
factoextra	latest	34	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	CA
rworldmap	latest	35	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps
mapplots	latest	36	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps
VennDiagram	latest	37	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	Venn_diagrams
fsthet	latest	38	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	Venn_diagrams
PopGenome	latest	39	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	Venn_diagrams
bibtex	latest	40	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	importdata()	referencing
mnormt	latest	41	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	RDA
psych	latest	42	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	RDA
sp	latest	43	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
raster	latest	44	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
phangorn	latest	45	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	NJtree_plot
seqinr	latest	46	TRUE	TRUE	TRUE	TRUE	CRAN	NA	TBC	TBC	TBC
RcppEigen	latest	47	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
gtools	latest	48	TRUE	TRUE	TRUE	TRUE	CRAN	NA	TBC	TBC	TBC
plotly	latest	49	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
robust	latest	50	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
vcfR	latest	51	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
pcadapt	latest	52	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
detectRUNS	latest	53	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	calcdiversity	Runs_of_homozygosity
BiocManager	latest	54	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	importdata()	install_bioconductor_packages
SNPRelate	latest	55	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	recommended	findstructure()	PCA
LEA	latest	56	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	recommended	findstructure()	admixture_analysis
qvalue	latest	57	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	optional	selectionanalyses()	qvalue_for_OutFLANK
gdsfmt	latest	58	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	TBC	TBC	TBC
XML	latest	59	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	calcdiversity();calcdistance()	karyoplots
karyoploteR	latest	60	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	recommended	calcdiversity();calcdistance()	karyoplots
OutFLANK	latest	61	TRUE	TRUE	TRUE	TRUE	github	whitlock/OutFLANK	optional	selectionanalyses()	OutFLANK
tess3r	latest	62	TRUE	TRUE	TRUE	TRUE	github	bcm-uga/TESS3_encho_sen	optional	additional_analysis	geographical_maps_TESS
IRanges	latest	63	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	optional	calcdistance()	HybridCheck
Biostrings	latest	64	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	optional	calcdistance()	HybridCheck
